SKU_norm,Subgroup,Group,sku_mpu_tons_per_unit
SOS008L02P,SOS,S,0.014719999999999999
SOS005L04P,SOS,S,0.0184
SOS003L04P,SOS,S,0.01104
SOS002L09P,SOS,S,0.016560000000000002
SOS001L12P,SOS,S,0.011040000000000001
SOS500M24P,SOS,S,0.01104
SOS250M48P,SOS,S,0.01104
SOP001L12P,SOP,S,0.011040000000000001
POV005L04P,POV,P,0.0182
POV002L09P,POV,P,0.01638
POV001L24P,POV,P,0.010920000000000001
POV500M24P,POV,P,0.010920000000000001
POP001L12P,POP,P,0.010920000000000001
POP015K,POP,P,
SO0005L04P,SO,S,0.018400000000000003
SO0002L09P,SO,S,0.016560000000000005
SO0001L12P,SO,S,0.011040000000000001
SO0500M24P,SO,S,0.011040000000000001
POP005L04P,POP,P,0.0182
POP002L09P,POP,P,0.01638
POP500M24P,POP,P,0.01092
POPF01L12P,POPF,P,0.010920000000000001
AT5X5K,AT,A,0.024999999999999998
ATN02K12P,ATN,A,0.024
ATN01K24P,ATN,A,0.024
MAR02K12P,MAR,M,0.024000000000000004
MAR01K24P,MAR,M,0.023999999999999997
ATWWP002K12P,ATWWP,A,0.023999999999999997
ATWWP001K24P,ATWWP,A,0.024
MASR025K,MASR,M,0.024999999999999998
MAHS025K,MAHS,M,0.025
SE500G24P,SE,S,0.006
SE200G24P,SE,S,0.0048
ATPPCH5X5K,ATPPCH,A,
ATPA1K24P,ATPA,A,
MAPA1K24P,MAPA,M,
MAP1K25P,MAP,M,0.024
MAC1K25P,MAC,M,0.024
EEA500G12P,EEA,E,
EEA200G24P,EEA,E,0.0048
